Name Age Designation Specialization Username Password
Taylor_Swift 34 MD Psychiatry TaylorSwift password2
Travis_Scott 32 DO Geriatrics TravisScott password3
Beyonce_Knowles 42 DO Emergency_Medicine BeyonceKnowles password4
Rihanna_Fenty 36 DO Obstetrics RihannaFenty password5
Katy_Perry 39 MD Gatroenterology KatyPerry password6
Britney_Spears 42 MD Oncology BritneySpears password7
Ariana_Grande 30 MD Cardiology ArianaGrande password8
Jennifer_Lopez 54 MD Opthalmology JenniferLopez password8
Shawn_Mendes 25 MD Anesthesiology ShawnMendes password9

